pr_number,creation_day,closure_day,lead_time
6,2011-1-12,2011-9-23,254
8,2011-1-21,2011-1-21,0
9,2011-6-14,2011-9-23,101
10,2011-6-17,2011-9-23,98
11,2011-9-23,2011-9-23,0
12,2011-9-23,2011-9-23,0
13,2011-10-7,2011-10-7,0
14,2011-10-21,2011-10-21,0
15,2011-12-27,2011-12-27,0
16,2012-2-14,2012-2-14,0
17,2012-2-17,2012-5-11,84
18,2012-4-21,2012-5-11,20
19,2012-4-21,2012-5-11,20
20,2012-5-4,2012-5-11,7
21,2012-5-17,2012-5-17,0
22,2012-5-22,2012-5-22,0
23,2012-5-25,2012-5-27,2
24,2012-7-10,2012-7-10,0
25,2012-9-12,2012-9-12,0
26,2012-10-9,2012-10-11,2
28,2012-11-1,2012-11-2,1
29,2012-11-9,2012-11-9,0
30,2012-11-15,2012-11-15,0
31,2013-1-22,2014-11-15,662
32,2013-2-7,2015-4-2,784
33,2013-2-20,2013-2-20,0
34,2013-2-27,2015-4-2,764
35,2013-3-27,2013-3-27,0
36,2013-4-12,2013-11-1,203
37,2013-4-20,2013-4-21,1
38,2013-4-24,2015-4-2,708
39,2013-5-29,2013-6-4,6
40,2013-6-4,2013-9-11,99
41,2013-6-7,2013-6-7,0
42,2013-6-12,2013-9-11,91
43,2013-6-21,2013-9-9,80
44,2013-6-27,2013-6-28,1
45,2013-6-29,2013-7-2,3
46,2013-7-9,2013-7-9,0
47,2013-7-17,2013-10-11,86
48,2013-7-21,2013-7-21,0
49,2013-7-23,2013-9-11,50
50,2013-8-11,2013-9-26,46
51,2013-8-16,2013-8-16,0
52,2013-8-16,2013-8-19,3
53,2013-9-7,2013-9-7,0
54,2013-9-7,2015-5-12,612
55,2013-9-10,2013-9-11,1
59,2013-10-2,2013-10-2,0
60,2013-10-8,2013-10-9,1
62,2013-10-16,2013-10-24,8
63,2013-10-24,2013-10-24,0
64,2013-11-3,2015-4-2,515
65,2013-11-5,2016-6-14,952
66,2013-11-19,2013-11-19,0
67,2013-11-20,2014-1-10,51
68,2013-11-27,2013-11-27,0
69,2013-12-3,2013-12-3,0
70,2013-12-19,2013-12-19,0
71,2014-1-8,2014-7-14,187
72,2014-1-10,2014-1-10,0
73,2014-1-18,2014-1-18,0
74,2014-1-28,2014-9-21,236
75,2014-2-1,2015-4-2,425
76,2014-2-1,2014-2-2,1
77,2014-2-8,2014-2-8,0
78,2014-2-11,2014-2-11,0
79,2014-2-27,2014-2-27,0
80,2014-2-28,2014-2-28,0
81,2014-3-1,2014-3-1,0
82,2014-3-1,2014-3-1,0
83,2014-3-1,2014-3-10,9
84,2014-3-7,2015-4-2,391
85,2014-3-13,2014-3-13,0
86,2014-3-14,2014-3-16,2
87,2014-3-16,2014-3-16,0
88,2014-3-17,2014-3-17,0
90,2014-3-27,2015-4-2,371
92,2014-4-19,2014-4-19,0
93,2014-4-26,2014-4-26,0
94,2014-5-5,2014-5-5,0
95,2014-5-6,2014-5-6,0
96,2014-5-6,2014-11-12,190
97,2014-6-20,2014-6-20,0
98,2014-6-23,2014-6-29,6
99,2014-7-9,2014-7-14,5
100,2014-7-10,2014-7-13,3
101,2014-7-28,2014-12-15,140
102,2014-7-31,2015-5-12,285
103,2014-8-3,2014-11-15,104
104,2014-8-21,2014-8-21,0
105,2014-8-22,2014-8-22,0
106,2014-9-5,2014-9-15,10
108,2014-9-13,2014-9-13,0
109,2014-9-24,2014-11-12,49
110,2014-10-22,2015-5-12,202
111,2014-10-30,2014-10-30,0
112,2014-10-31,2014-10-31,0
113,2014-11-1,2015-4-2,152
114,2014-11-11,2014-11-11,0
115,2014-11-11,2015-5-12,182
116,2014-11-13,2014-11-13,0
117,2014-11-23,2014-12-20,27
118,2014-12-11,2014-12-11,0
119,2014-12-13,2015-1-6,24
120,2014-12-15,2014-12-15,0
121,2014-12-15,2014-12-15,0
122,2015-1-3,2015-1-3,0
123,2015-1-15,2015-1-16,1
124,2015-1-23,2015-1-23,0
125,2015-2-7,2015-2-7,0
126,2015-2-7,2015-5-12,94
127,2015-2-9,2015-2-9,0
130,2015-2-28,2015-2-28,0
131,2015-3-8,2015-5-12,65
133,2015-3-20,2015-5-12,53
135,2015-4-7,2015-4-7,0
136,2015-4-15,2015-5-12,27
137,2015-5-20,2019-6-4,1476
138,2015-5-22,2015-5-31,9
140,2015-5-22,2015-7-30,69
141,2015-5-24,2015-5-31,7
142,2015-5-30,2015-5-30,0
143,2015-6-1,2019-6-18,1478
144,2015-6-1,2019-6-18,1478
145,2015-6-6,2015-6-15,9
146,2015-6-8,2015-6-11,3
147,2015-6-8,2015-6-8,0
148,2015-6-9,2015-6-10,1
154,2015-6-24,2016-1-6,196
155,2015-6-25,2019-6-4,1440
156,2015-6-28,2015-7-8,10
157,2015-6-29,2015-6-30,1
159,2015-7-7,2019-10-8,1554
